source,title,link
BBC News,Nineteen dead in attacks on churches and synagogue in southern Russia,https://www.bbc.com/news/articles/crgggwg158do
BBC News,"Intense fighting in Rafah near end, says Netanyahu",https://www.bbc.com/news/articles/cpvvvkxpxwno
BBC News,Protests flare up in New Caledonia as France detains activists,https://www.bbc.com/news/articles/c4nnn56ved6o
BBC News,Criminal charges recommended against Boeing,https://www.bbc.com/news/articles/c0666zr4010o
BBC News,China and EU to hold talks on electric car tariffs,https://www.bbc.com/news/articles/cw999dwp313o
BBC News,"Intense fighting in Rafah near end, says Netanyahu",https://www.bbc.com/news/articles/cpvvvkxpxwno
BBC News,Exploding batteries spark deadly S Korea factory fire,https://www.bbc.com/news/articles/crgggmeyjj7o
BBC News,How exam scandals threaten the future of India's young people,https://www.bbc.com/news/articles/c511j589npyo
BBC News,World first epilepsy device fitted in UK boy's skull,https://www.bbc.com/news/articles/cg33kgd81mvo
BBC News,Protests flare up in New Caledonia as France detains activists,https://www.bbc.com/news/articles/c4nnn56ved6o
BBC News,'Cricket is the only source of happiness back home': Afghans celebrate big win,https://www.bbc.com/news/articles/cpvvggllp2ko
BBC News,Pirates of the Caribbean star killed in shark attack,https://www.bbc.com/news/articles/cd1117lwlxyo
BBC News,Kelce makes surprise appearance during Swift show,https://www.bbc.com/news/articles/c2999rpn6e5o
BBC News,Missing hiker survives by drinking gallon of water a day,https://www.bbc.com/news/articles/cq5554991pvo
BBC News,"At least 1,301 people died during Hajj - Saudi Arabia",https://www.bbc.com/news/articles/c8000dgk9gzo
BBC News,Huge Saudi construction projects 'might get scaled down',https://www.bbc.com/news/articles/cyrr3mm8evyo
BBC News,How islanders are saving their Indian Ocean coral reef,https://www.bbc.com/news/articles/cjkkd66874ko
BBC News,Edmonton Oilers on brink of history after thrilling comeback,https://www.bbc.com/news/articles/ce55l4l4x11o
BBC News,"Unable to back down, Israel and Hezbollah move closer to all-out war",https://www.bbc.com/news/articles/c4nn145p20qo
BBC News,Trolls told me I was too fat to play Kate - Crown star,https://www.bbc.com/news/articles/c3gggk7d7zwo
BBC News,How islanders are saving their Indian Ocean coral reef,https://www.bbc.com/news/articles/cjkkd66874ko
BBC News,Seventeen: The K-pop band about to make history at UK festival,https://www.bbc.com/news/articles/cn00npn4yl0o
BBC News,Are renters a new electoral coalition?,https://www.bbc.com/news/articles/clmm774k34zo
BBC News,Edmonton Oilers on brink of history after thrilling comeback,https://www.bbc.com/news/articles/ce55l4l4x11o
BBC News,Giant anti-government protest rally grips Tel Aviv,https://www.bbc.com/news/videos/c722pyj1zm1o
BBC News,Watch: Wild Thang is officially the world's ugliest dog,https://www.bbc.com/news/videos/c877z367k67o
BBC News,Ros Atkins: Is Brexit still important to voters?,https://www.bbc.com/news/videos/c72229542n0o
BBC News,Disappointed fans react after Scotland are knocked out,https://www.bbc.com/news/videos/c84441levyno
BBC News,"No tickets? No problem, say Taylor Swift fans outside arena",https://www.bbc.com/news/videos/c6ppyq80vp5o
BBC News,Stars take over Paris for sporty Vogue fashion show,https://www.bbc.com/news/articles/ckkkkdqvywdo
BBC News,Woman attacked by wolves in safari park near Paris,https://www.bbc.com/news/articles/c51119kp00qo
BBC News,England thrash USA to secure semi-final place,https://www.bbc.com/sport/cricket/articles/c9rrry2wx0vo
BBC News,'Cricket is the only source of happiness back home': Afghans celebrate famous win,https://www.bbc.com/news/articles/cpvvggllp2ko
BBC News,Taylor Swift grabs royal selfie at London gig,https://www.bbc.com/news/articles/cgee8qgey2eo
